feature,correlation
CoapplicantIncome,0.09913577730118178
ApplicantIncome,0.0852248718091966
Income_Loan_Ratio,0.06886083950543967
TotalIncome,0.030662698535293645
Self_Employed,0.028171808490950634
Loan_Amount_Term,0.025079293309755495
